METGROUP, METRIC_ACRONYM  , INST, END_DATE            , VALUE
CPU     , CPU             , 1   , 2020-10-29T15:02:25 , 1
CPU     , CPU             , 1   , 2020-10-29T15:04:36 , 1
CPU     , CPU             , 1   , 2020-10-29T15:06:57 , 1
CPU     , CPU             , 1   , 2020-10-29T15:07:07 , 1
CPU     , CPU             , 1   , 2020-10-29T15:07:17 , 1
CPU     , CPU             , 1   , 2020-10-29T15:10:38 , 1
CPU     , CPU             , 1   , 2020-10-29T15:10:48 , 2
CPU     , CPU             , 1   , 2020-10-29T15:11:28 , 1
CPU     , CPU             , 1   , 2020-10-29T15:11:48 , 1
CPU     , CPU             , 1   , 2020-10-29T15:12:28 , 2
CPU     , CPU             , 1   , 2020-10-29T15:12:48 , 1
CPU     , CPU             , 1   , 2020-10-29T15:13:29 , 1
CPU     , CPU             , 1   , 2020-10-29T15:14:19 , 2
CPU     , CPU             , 1   , 2020-10-29T15:14:29 , 1
CPU     , CPU             , 1   , 2020-10-29T15:14:39 , 1
CPU     , CPU             , 1   , 2020-10-29T15:14:59 , 1
CPU     , CPU             , 1   , 2020-10-29T15:15:09 , 1
CPU     , CPU             , 1   , 2020-10-29T15:15:19 , 1
CPU     , CPU             , 1   , 2020-10-29T15:15:39 , 1
CPU     , CPU             , 1   , 2020-10-29T15:15:59 , 1
CPU     , CPU             , 1   , 2020-10-29T15:16:09 , 1
CPU     , CPU             , 1   , 2020-10-29T15:16:19 , 2
CPU     , CPU             , 1   , 2020-10-29T15:16:29 , 4
CPU     , CPU             , 1   , 2020-10-29T15:16:39 , 1
CPU     , CPU             , 1   , 2020-10-29T15:16:49 , 2
CPU     , CPU             , 1   , 2020-10-29T15:16:59 , 3
CPU     , CPU             , 1   , 2020-10-29T15:17:09 , 1
CPU     , CPU             , 1   , 2020-10-29T15:17:29 , 1
CPU     , CPU             , 1   , 2020-10-29T15:17:40 , 2
CPU     , CPU             , 1   , 2020-10-29T15:17:50 , 1
CPU     , CPU             , 1   , 2020-10-29T15:18:10 , 2
CPU     , CPU             , 1   , 2020-10-29T15:18:20 , 1
CPU     , CPU             , 1   , 2020-10-29T15:18:40 , 1
CPU     , CPU             , 1   , 2020-10-29T15:18:50 , 2
CPU     , CPU             , 1   , 2020-10-29T15:19:30 , 1
CPU     , CPU             , 1   , 2020-10-29T15:19:40 , 2
CPU     , CPU             , 1   , 2020-10-29T15:20:10 , 2
CPU     , CPU             , 1   , 2020-10-29T15:20:30 , 1
CPU     , CPU             , 1   , 2020-10-29T15:22:51 , 1
CPU     , CPU             , 1   , 2020-10-29T15:23:11 , 2
CPU     , CPU             , 1   , 2020-10-29T15:23:51 , 1
CPU     , CPU             , 1   , 2020-10-29T15:24:12 , 1
CPU     , CPU             , 1   , 2020-10-29T15:24:22 , 1
CPU     , CPU             , 1   , 2020-10-29T15:24:32 , 1
CPU     , CPU             , 1   , 2020-10-29T15:24:52 , 1
CPU     , CPU             , 1   , 2020-10-29T15:25:02 , 2
CPU     , CPU             , 1   , 2020-10-29T15:25:12 , 1
CPU     , CPU             , 1   , 2020-10-29T15:29:33 , 1
CPU     , CPU             , 1   , 2020-10-29T15:29:43 , 1
CPU     , CPU             , 1   , 2020-10-29T15:33:44 , 1
CPU     , CPU             , 1   , 2020-10-29T15:34:44 , 2
CPU     , CPU             , 1   , 2020-10-29T15:36:45 , 1
CPU     , CPU             , 1   , 2020-10-29T15:36:55 , 1
CPU     , CPU             , 1   , 2020-10-29T15:37:05 , 1
CPU     , CPU             , 1   , 2020-10-29T15:38:35 , 2
CPU     , CPU             , 1   , 2020-10-29T15:43:27 , 1
CPU     , CPU             , 1   , 2020-10-29T15:45:47 , 1
CPU     , CPU             , 1   , 2020-10-29T15:46:57 , 1
CPU     , CPU             , 1   , 2020-10-29T15:47:48 , 1
CPU     , CPU             , 1   , 2020-10-29T15:48:08 , 1
CPU     , CPU             , 1   , 2020-10-29T15:48:28 , 1
CPU     , CPU             , 1   , 2020-10-29T15:48:38 , 1
CPU     , CPU             , 1   , 2020-10-29T15:48:48 , 1
CPU     , CPU             , 1   , 2020-10-29T15:51:49 , 1
CPU     , CPU             , 1   , 2020-10-29T15:55:10 , 1
CPU     , CPU             , 1   , 2020-10-29T15:56:10 , 1
CPU     , CPU             , 1   , 2020-10-29T15:57:00 , 1
CPU     , CPU             , 1   , 2020-10-29T15:58:51 , 2
CPU     , CPU             , 1   , 2020-10-29T16:02:21 , 1
CPU     , CPU             , 1   , 2020-10-29T16:02:41 , 1
CPU     , CPU             , 1   , 2020-10-29T16:04:12 , 1
CPU     , CPU             , 1   , 2020-10-29T16:05:02 , 1
CPU     , CPU             , 1   , 2020-10-29T16:05:12 , 1
CPU     , CPU             , 1   , 2020-10-29T16:06:33 , 1
CPU     , CPU             , 1   , 2020-10-29T16:09:03 , 1
CPU     , CPU             , 1   , 2020-10-29T16:11:54 , 1
CPU     , CPU             , 1   , 2020-10-29T16:12:44 , 1
CPU     , CPU             , 1   , 2020-10-29T16:14:05 , 1
CPU     , CPU             , 1   , 2020-10-29T16:14:15 , 1
CPU     , CPU             , 1   , 2020-10-29T16:14:35 , 1
CPU     , CPU             , 1   , 2020-10-29T16:14:45 , 1
CPU     , CPU             , 1   , 2020-10-29T16:16:35 , 1
CPU     , CPU             , 1   , 2020-10-29T16:17:45 , 1
CPU     , CPU             , 1   , 2020-10-29T16:18:46 , 1
CPU     , CPU             , 1   , 2020-10-29T16:19:06 , 1
CPU     , CPU             , 1   , 2020-10-29T16:23:47 , 1
CPU     , CPU             , 1   , 2020-10-29T16:26:48 , 1
CPU     , CPU             , 1   , 2020-10-29T16:27:08 , 1
CPU     , CPU             , 1   , 2020-10-29T16:27:28 , 1
CPU     , CPU             , 1   , 2020-10-29T16:27:48 , 1
CPU     , CPU             , 1   , 2020-10-29T16:28:49 , 1
CPU     , CPU             , 1   , 2020-10-29T16:30:09 , 1
CPU     , CPU             , 1   , 2020-10-29T16:32:09 , 1
CPU     , CPU             , 1   , 2020-10-29T16:33:10 , 1
CPU     , CPU             , 1   , 2020-10-29T16:33:30 , 1
CPU     , CPU             , 1   , 2020-10-29T16:35:50 , 2
CPU     , CPU             , 1   , 2020-10-29T16:36:00 , 1
CPU     , CPU             , 1   , 2020-10-29T16:36:10 , 1
CPU     , CPU             , 1   , 2020-10-29T16:36:20 , 3
CPU     , CPU             , 1   , 2020-10-29T16:36:40 , 2
CPU     , CPU             , 1   , 2020-10-29T16:37:01 , 1
CPU     , CPU             , 1   , 2020-10-29T16:37:11 , 1
CPU     , CPU             , 1   , 2020-10-29T16:37:21 , 1
CPU     , CPU             , 1   , 2020-10-29T16:37:31 , 2
CPU     , CPU             , 1   , 2020-10-29T16:37:51 , 2
CPU     , CPU             , 1   , 2020-10-29T16:38:01 , 3
CPU     , CPU             , 1   , 2020-10-29T16:38:11 , 2
CPU     , CPU             , 1   , 2020-10-29T16:38:21 , 4
CPU     , CPU             , 1   , 2020-10-29T16:38:31 , 1
